Student Code, Module Code, Year, Term, Marks 
1000, ECM1400, 2019, 1, [9 ,10, 10, 10] 
1001, ECM1400, 2019, 1, [8, 8, 8, 9] 
1002, ECM1400, 2019, 1, [5,5,6,5] 
1003, ECM1400, 2019, 1, [6,4,7,9] 
1004, ECM1400, 2019, 1, [10,9,10,9] 
1005, PHY2023, 2019, 1, [9 ,9] 
1006, PHY2023, 2019, 1, [6, 9] 
1007, PHY2023, 2019, 1, [5, 6] 
1008, PHY2023, 2019, 1, [9, 7] 
1009, PHY2023, 2019, 1, [8, 5] 
1000, BEM2027, 2019, 2, [10 ,10, 9.5, 10] 
1001, BEM2027, 2019, 2, [7, 8.5, 8.2, 8] 
1002, BEM2027, 2019, 2, [6.5,7.0,5.5,8.5] 
1003, BEM2027, 2019, 2, [5.5,5,6.5,7] 
1004, BEM2027, 2019, 2, [7,5,8,6] 
1005, ECM1400, 2019, 2, [9 ,10, 10, 10] 
1006, ECM1400, 2019, 2, [8, 8, 8, 9] 
1007, ECM1400, 2019, 2, [5,5,6,5] 
1008, ECM1400, 2019, 2, [6,4,7,9] 
1009, ECM1400, 2019, 2, [10,9,8,9] 
1000, ECM1406, 2020, 1, [10 ,10, 10] 
1001, ECM1406, 2020, 1, [8, 7.5, 7.5] 
1002, ECM1406, 2020, 1, [9,7,7] 
1003, ECM1406, 2020, 1, [9,8,7] 
1004, ECM1406, 2020, 1, [2,7,7] 
1005, ECM1406, 2020, 1, [10 ,10, 10] 
1006, ECM1406, 2020, 1, [8, 7.5, 7.5] 
1007, ECM1406, 2020, 1, [10,10,10] 
1008, ECM1406, 2020, 1, [9,8,7] 
1009, ECM1406, 2020, 1, [8,9,10] 
1000, ECM1410, 2020, 1, [10 ,9, 10] 
1001, ECM1410, 2020, 1, [8.5,9,7.5] 
1002, ECM1410, 2020, 1, [10,10,5.5] 
1003, ECM1410, 2020, 1, [7,7,7] 
1004, ECM1410, 2020, 1, [5,6,10] 
1005, ECM0002, 2020, 2, [8 ,9, 8] 
1006, ECM0002, 2020, 2, [6.5,9,9.5] 
1007, ECM0002, 2020, 2, [8.5,10,8.5] 
1008, ECM0002, 2020, 2, [7.5,8,10] 
1009, ECM0002, 2020, 2, [10, 6, 10] 